Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14, C19, C2, C20, C21, C22, C23, C24, C26, C3, C38, C4, C47, C48, C5, C51, C6, C7",0402,19,100n,C152724
"C10, C11, C13, C33, C34, C35, C37, C39, C40, C41, C42, C44, C45, C46, C9",RESC2012X140N,15,1u,C1849853
"C12, C17, C18, C25, C28, C29, C30, C31, C32, C36, C49, C50, C8",0805,13,10u,C326595
"C15, C16",CAPC1005X56N,2,8pf,C5858296
C27,CP_EIA-7343-31_Kemet-D,1,100uF,C600591
C43,EEEHP1H4R7P,1,EEE-FH1E101XL,C178512
"D1, D2, D3, D4, D8",SON50P100X145X60-6N-D,5,USBULC6-2M6,C672213
D10,0603,1,LED Red,C5878870
"D11, D12, D13, D14",LED_19-337C_RSBHGHC-A88_4T,4,19-337C_RSBHGHC-A88_4T,C5274136
"D15, D16, D17, D5, D6, D7",SOT65P210X110-3N,6,ESDA25W,C2935152
D9,0603,1,LED Green,C5879397
"FID1, FID2, FID3",Fiducial_1.5mm_Mask3mm,3,Fiducial,NF
"H1, H2, H3, H4",MountingHole_4.3mm_M4_DIN965_Pad_TopBottom,4,MountingHole_Pad,NF
J1,CONN_10029449111_AMP,1,10029449-111RLF,C427307
J10,IDC-Header_2x10_P2.54mm_Vertical,1,Conn_02x10_Odd_Even,C5372868
"J11, J5",GCT_USB4105-GF-A,2,USB4105-GF-A,C2982555
J12,1190297,1,1190297,C3308983
"J14, J15, J16, J17",470531000,4,470531000,C240840
J2,PinHeader_2x02_P2.54mm_Vertical,1,THD-02-R,DNP
J3,JT41202HL,1,JT4-1202HL,C7212687
J4,DM3CSSF,1,DM3CS-SF,C202111
J6,XM7B0442,1,XM7B-0442,C114097
J7,MOLEX_USB_67298-4090,1,690-008-221-904,C456021
J8,PinHeader_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,C492422
J9,SAMTEC_ERM8-040-01-X-D-EM2-L-XX,1,ERM8-040-01-X-D-EM2-L-XX,Non Stock
L1,INDPM6965X500N,1,IHLP2525EZER2R2M01-2.2uH,C845037
"LED2, LED3, LED4",515-1114F,3,515-1114F,NF
Module1,Raspberry-Pi-4-Compute-Module,1,ComputeModule4-CM4,C597931
"Q1, Q2",TRANS_STL6P3LLH6,2,STL6P3LLH6,Non Stock
"Q3, Q4, Q5",POWERFLAT_3P3X3P3_STM,3,STL11N3LLH6,C2965326
"R1, R2, R24, R5",RESC1005X40N,4,470R,C186129
"R10, R25, R29, R6",RESC1005X37N,4,1k,C139047
"R11, R12",0402,2,2.2K 1%,C186333
"R13, R14, R15, R17",0402,4,36K 1%,C131573
"R16, R23, R3, R4",0402,4,12K 1%,C186350
"R18, R42, R43, R44, R45, R46, R47, R48",0402,8,15K 1%,C2576181
"R19, R20",0603,2,1k,C131360
"R21, R22",RESC1005X37N,2,4K7,C159984
"R26, R39, R40, R7",RESC1005X40N,4,100K,C131362
"R27, R31, R33, R35, R36, R8",RESC1005X40N,6,22K,C2576480
"R28, R9",RESC1005X40N,2,100R,C186302
"R30, R32, R34, R37",RESC1005X40N,4,NF,NF
R38,RESC1005X40N,1,13K3,C274352
R41,RESC1005X40N,1,19K1,C850847
U1,SOT-23,1,RT9742SNGV,C3235509
"U10, U3",QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,2,STUSB4500QTR,C2678061
"U11, U12, U13",SOP65P490X110-8N,3,LM74610QDGKRQ1,C2649431
U14,SON50P300X300X80-13N-D,1,LMR51450FNDRRR,C6890985
U15,TO254P1435X464-4N,1,LM2940S-12_NOPB,C2877347
U16,QFN65P400X400X90-17N-D,1,EMC2305-1-AP-TR,C621415
U2,SOT-23-5,1,RT9742GGJ5,C250547
U4,MSOP-10_3x3mm_P0.5mm,1,FSUSB42MUX,C11355
U5,QFN-36-1EP_6x6mm_P0.5mm_EP3.7x3.7mm,1,USB2514B-I/M2,C220679
U6,SOT-23-6,1,AP22653W6,C2158037
"U7, U9",SOT-353_SC-70-5,2,74LVC1G07SE-7,C2675596
U8,SON50P200X200X58-9N,1,KTD2052BEVAA-TR,Non Stock
Y1,CX3225CA24000D0HSSCC,1,CX3225CA24000D0HSSCC,C6580408
