Designator,Mid X,Mid Y,Rotation,Layer
C1,110.43375,-66.6,0.0,top
C10,175.15,-105.7,180.0,top
C11,174.4,-110.7,180.0,top
C12,184.45,-103.2,180.0,top
C13,181.15,-105.7,90.0,top
C14,180.88,-113.2,180.0,top
C15,100.8,-111.705,270.0,top
C16,107.6,-107.855,0.0,top
C17,107.2,-124.705,270.0,top
C18,111.3,-113.855,0.0,top
C19,102.0,-112.875,90.0,top
C2,110.43375,-68.9,0.0,top
C20,106.0,-112.855,90.0,top
C21,102.4,-123.655,270.0,top
C22,105.0,-123.555,270.0,top
C23,110.77,-118.25,0.0,top
C24,114.68,-104.755,0.0,top
C25,113.35,-87.655,0.0,top
C26,102.3,-98.555,90.0,top
C27,107.7,-98.255,270.0,top
C28,113.15,-92.255,0.0,top
C29,113.15,-94.755,0.0,top
C3,112.48,-148.255,0.0,top
C30,113.15,-97.255,0.0,top
C31,113.15,-99.755,0.0,top
C32,98.325,-66.825,180.0,top
C33,174.4,-83.7175,180.0,top
C34,175.9,-78.7175,180.0,top
C35,174.4,-81.2175,180.0,top
C36,184.45,-76.8175,180.0,top
C37,180.9,-79.5675,90.0,top
C38,180.88,-87.4675,180.0,top
C39,183.25,-127.7175,0.0,top
C4,115.0,-140.055,0.0,top
C40,175.0,-127.7675,0.0,top
C41,183.25,-130.2175,0.0,top
C42,175.0,-130.2175,0.0,top
C43,168.3,-74.3,270.0,top
C44,178.325,-54.925,180.0,top
C45,179.575,-58.175,270.0,top
C46,177.075,-58.175,270.0,top
C47,159.05,-70.75,180.0,top
C48,167.8,-69.75,0.0,top
C49,156.6,-64.25,180.0,top
C5,114.98,-137.455,0.0,top
C50,156.6,-61.5,180.0,top
C51,124.98,-141.75,180.0,top
C6,115.08,-142.555,0.0,top
C7,115.08,-145.055,0.0,top
C8,143.15,-147.3,270.0,top
C9,175.15,-108.2,180.0,top
D1,112.7,-141.255,0.0,top
D10,89.25,-46.0,180.0,top
D11,89.025,-58.725,270.0,top
D12,95.625,-58.725,270.0,top
D13,89.125,-52.025,270.0,top
D14,95.625,-52.025,270.0,top
D15,177.0,-66.1675,90.0,top
D16,180.0,-66.1675,90.0,top
D17,184.35,-79.8175,180.0,top
D2,112.7,-138.755,0.0,top
D3,112.7,-143.755,0.0,top
D4,112.7,-146.255,0.0,top
D5,177.25,-92.65,90.0,top
D6,180.25,-92.65,90.0,top
D7,184.35,-106.05,180.0,top
D8,100.2,-98.355,270.0,top
D9,96.0,-46.0,180.0,top
FID1,99.75,-80.5,180.0,top
FID2,113.5,-153.5,0.0,top
FID3,171.0,-130.25,0.0,top
J1,85.0601,-70.1,270.0,top
J10,117.25,-51.3,0.0,top
J11,188.15,-69.4675,90.0,top
J12,174.0,-49.75,90.0,top
J14,168.5,-150.75,180.0,top
J15,185.25,-135.5,90.0,top
J16,176.5,-135.5,90.0,top
J17,167.75,-135.5,90.0,top
J2,118.425,-152.13,90.0,top
J3,105.62,-147.915,270.0,top
J4,154.5,-145.75,0.0,top
J5,188.15,-95.88,90.0,top
J6,95.11,-95.205,270.0,top
J7,90.335,-116.955,270.0,top
J8,112.36,-128.495,90.0,top
J9,145.5,-43.7,0.0,bottom
L1,163.55,-61.5,180.0,top
LED2,79.3,-43.515,270.0,top
LED3,79.3,-50.265,270.0,top
LED4,79.3,-57.015,270.0,top
Module1,162.4,-80.5,180.0,top
Q1,184.4,-113.475,270.0,top
Q2,184.4,-87.4925,270.0,top
Q3,184.0,-120.2175,0.0,top
Q4,176.4,-120.2175,0.0,top
Q5,187.299999,-58.3248,270.0,top
R1,112.55,-149.5,0.0,top
R10,180.85,-115.45,180.0,top
R11,114.71,-102.255,0.0,top
R12,114.71,-103.505,180.0,top
R13,110.6,-117.155,0.0,top
R14,110.7,-119.355,0.0,top
R15,107.1,-112.855,90.0,top
R16,103.1,-112.855,270.0,top
R17,110.6,-115.955,0.0,top
R18,112.6,-90.055,0.0,top
R19,105.0,-53.75,270.0,top
R2,115.05,-136.2,0.0,top
R20,103.0,-53.75,270.0,top
R21,100.925,-67.225,270.0,top
R22,102.425,-67.225,270.0,top
R23,174.65,-66.9575,270.0,top
R24,184.85,-82.4675,180.0,top
R25,181.85,-82.4675,180.0,top
R26,184.85,-83.9675,180.0,top
R27,181.85,-83.9675,180.0,top
R28,180.85,-85.9675,180.0,top
R29,180.85,-89.4675,180.0,top
R3,141.05,-146.56,270.0,top
R30,173.95,-87.4675,0.0,top
R31,173.95,-85.9675,180.0,top
R32,174.7,-112.8,0.0,top
R33,174.7,-114.2,180.0,top
R34,173.95,-88.9675,0.0,top
R35,173.95,-90.4675,180.0,top
R36,174.7,-117.1,0.0,top
R37,174.7,-115.7,180.0,top
R38,158.8,-69.25,0.0,top
R39,167.55,-66.5,180.0,top
R4,174.9,-93.44,270.0,top
R40,158.8,-66.25,0.0,top
R41,158.8,-67.75,0.0,top
R42,125.74,-143.25,0.0,top
R43,137.74,-138.53,0.0,top
R44,137.74,-139.75,0.0,top
R45,137.74,-141.0,0.0,top
R46,125.74,-144.75,180.0,top
R47,137.74,-142.25,0.0,top
R48,137.74,-143.5,0.0,top
R5,184.85,-108.45,180.0,top
R6,181.85,-108.45,180.0,top
R7,184.85,-109.95,180.0,top
R8,181.85,-109.95,180.0,top
R9,180.85,-111.7,180.0,top
U1,107.13375,-67.7,0.0,top
U10,178.4,-73.9675,180.0,top
U11,184.65,-124.4675,0.0,top
U12,176.4,-124.4675,0.0,top
U13,183.075,-58.175,270.0,top
U14,163.55,-67.5,180.0,top
U15,132.25,-150.75,180.0,top
U16,130.15,-141.425,0.0,top
U2,142.0,-142.3125,270.0,top
U3,177.9,-100.7,180.0,top
U4,111.481,-107.275004,270.0,top
U5,104.4375,-118.255,0.0,top
U6,108.2,-90.055,270.0,top
U7,104.75,-57.25,180.0,top
U8,99.875,-64.375,180.0,top
U9,111.75,-62.0,180.0,top
Y1,103.2,-107.255,0.0,top
